window_id,sample_in_window,split,temperature_C,mq2_adc,label
0,0,train,27.56,121,0
0,1,train,27.46,123,0
0,2,train,27.59,120,0
0,3,train,27.84,120,0
0,4,train,27.5,125,0
0,5,train,27.53,118,0
0,6,train,27.52,113,0
0,7,train,27.49,125,0
0,8,train,27.68,121,0
0,9,train,27.47,112,0
0,10,train,27.47,132,0
0,11,train,27.4,108,0
0,12,train,27.46,123,0
0,13,train,27.65,127,0
0,14,train,27.79,130,0
0,15,train,27.78,127,0
0,16,train,27.62,119,0
0,17,train,27.45,111,0
0,18,train,27.83,116,0
0,19,train,27.59,129,0
0,20,train,27.44,120,0
0,21,train,27.61,123,0
0,22,train,27.7,118,0
0,23,train,27.77,114,0
0,24,train,27.69,117,0
0,25,train,27.66,113,0
0,26,train,27.74,120,0
0,27,train,27.65,114,0
0,28,train,27.71,118,0
0,29,train,27.54,122,0
1,0,train,26.99,146,0
1,1,train,27.01,142,0
1,2,train,26.83,139,0
1,3,train,26.84,152,0
1,4,train,26.77,145,0
1,5,train,26.72,144,0
1,6,train,26.67,144,0
1,7,train,26.84,137,0
1,8,train,26.72,126,0
1,9,train,26.94,139,0
1,10,train,26.66,139,0
1,11,train,26.72,139,0
1,12,train,26.83,142,0
1,13,train,26.64,141,0
1,14,train,26.67,130,0
1,15,train,26.71,137,0
1,16,train,26.58,129,0
1,17,train,26.56,145,0
1,18,train,26.58,153,0
1,19,train,26.69,129,0
1,20,train,26.62,136,0
1,21,train,26.58,139,0
1,22,train,26.55,144,0
1,23,train,26.5,134,0
1,24,train,26.57,136,0
1,25,train,26.6,142,0
1,26,train,26.52,136,0
1,27,train,26.47,134,0
1,28,train,26.51,138,0
1,29,train,26.32,138,0
2,0,train,26.01,102,0
2,1,train,26.49,106,0
2,2,train,26.3,104,0
2,3,train,26.03,115,0
2,4,train,26.38,107,0
2,5,train,25.96,115,0
2,6,train,26.2,111,0
2,7,train,26.37,115,0
2,8,train,26.21,108,0
2,9,train,26.15,106,0
2,10,train,26.47,102,0
2,11,train,26.36,92,0
2,12,train,26.38,111,0
2,13,train,26.54,115,0
2,14,train,26.36,102,0
2,15,train,26.3,102,0
2,16,train,26.48,106,0
2,17,train,26.63,105,0
2,18,train,26.75,110,0
2,19,train,26.44,96,0
2,20,train,26.47,103,0
2,21,train,26.5,104,0
2,22,train,26.89,108,0
2,23,train,26.79,107,0
2,24,train,26.94,106,0
2,25,train,26.82,107,0
2,26,train,26.72,105,0
2,27,train,26.79,106,0
2,28,train,26.94,108,0
2,29,train,27.01,101,0
3,0,train,27.49,100,0
3,1,train,27.73,107,0
3,2,train,27.62,100,0
3,3,train,27.6,104,0
3,4,train,27.54,98,0
3,5,train,27.57,95,0
3,6,train,27.57,108,0
3,7,train,27.6,106,0
3,8,train,27.65,95,0
3,9,train,27.59,111,0
3,10,train,27.44,102,0
3,11,train,27.41,97,0
3,12,train,27.53,99,0
3,13,train,27.66,112,0
3,14,train,27.62,100,0
3,15,train,27.73,96,0
3,16,train,27.6,93,0
3,17,train,27.27,97,0
3,18,train,27.39,108,0
3,19,train,27.6,107,0
3,20,train,27.44,107,0
3,21,train,27.45,106,0
3,22,train,27.46,102,0
3,23,train,27.38,102,0
3,24,train,27.38,101,0
3,25,train,27.69,102,0
3,26,train,27.25,101,0
3,27,train,27.38,102,0
3,28,train,27.14,101,0
3,29,train,27.33,101,0
4,0,train,27.99,104,0
4,1,train,28.08,112,0
4,2,train,27.76,99,0
4,3,train,28.0,111,0
4,4,train,27.88,106,0
4,5,train,28.12,104,0
4,6,train,28.37,100,0
4,7,train,28.21,111,0
4,8,train,27.9,101,0
4,9,train,28.09,108,0
4,10,train,27.98,107,0
4,11,train,28.32,103,0
4,12,train,28.19,110,0
4,13,train,28.01,103,0
4,14,train,28.08,104,0
4,15,train,28.26,109,0
4,16,train,28.14,107,0
4,17,train,27.9,113,0
4,18,train,27.93,110,0
4,19,train,28.26,100,0
4,20,train,28.34,109,0
4,21,train,28.1,104,0
4,22,train,28.1,106,0
4,23,train,28.07,109,0
4,24,train,28.06,101,0
4,25,train,28.29,103,0
4,26,train,28.5,111,0
4,27,train,28.06,105,0
4,28,train,28.01,112,0
4,29,train,27.98,108,0
5,0,train,26.2,128,0
5,1,train,26.05,133,0
5,2,train,26.09,139,0
5,3,train,26.17,137,0
5,4,train,26.23,131,0
5,5,train,26.31,142,0
5,6,train,26.22,125,0
5,7,train,26.34,129,0
5,8,train,26.2,148,0
5,9,train,26.21,140,0
5,10,train,26.23,135,0
5,11,train,26.4,122,0
5,12,train,26.33,139,0
5,13,train,26.31,146,0
5,14,train,26.39,137,0
5,15,train,26.37,138,0
5,16,train,26.65,136,0
5,17,train,26.54,132,0
5,18,train,26.4,131,0
5,19,train,26.25,139,0
5,20,train,26.33,139,0
5,21,train,26.59,134,0
5,22,train,26.53,135,0
5,23,train,26.65,146,0
5,24,train,26.58,129,0
5,25,train,26.46,144,0
5,26,train,26.56,137,0
5,27,train,26.74,135,0
5,28,train,26.46,144,0
5,29,train,26.73,128,0
6,0,train,26.93,129,0
6,1,train,27.28,126,0
6,2,train,27.05,127,0
